No;LATITUDE;LONGITUDE;BRIGHTNESS;CONFIDENCE
1;10.365;123.033;312.3;51
2;13.353;120.572;314.4;61
3;0.553;102.297;317;41
4;-1.396;102.544;310.2;24
5;-2.817;103.541;315.6;44
6;-3.481;103.471;315.4;60
7;-3.594;104.28;311;31
8;-3.719;104.38;318.9;53
9;-4.547;104.307;312.7;55
10;-4.546;104.317;312.6;55
11;-3.534;127.938;321;56
12;-3.532;127.947;317.2;51
13;-3.722;104.386;321.2;65
14;-3.721;104.375;350.3;95
15;-3.693;104.396;317;40
16;-2.517;104.245;323.6;77
17;0.275;102.341;315.7;52
18;0.568;102.16;312.5;51
19;-2.58;121.389;310.7;39
20;-6.579;146.219;315.5;54
21;-8.113;118.07;319.8;51
22;-8.112;118.079;319.8;0
23;-9.398;119.737;323.8;40
24;-0.798;123.108;312.1;52
25;-1.038;123.29;316.5;57
26;3.009;101.374;315.7;0
27;-4.203;122.195;314.4;57
28;3.836;113.566;325.6;68
29;2.689;113.127;314.2;40
30;-2.391;110.697;317.4;65
31;-2.39;110.708;318.5;70
32;-2.394;110.703;326.3;79
33;-8.254;113.37;310.8;43
34;-7.589;138.561;314.1;60
35;0.58;101.981;311.3;35
36;2.701;112.136;330;63
37;2.783;112.144;318.7;70
38;2.793;112.135;335.1;87
39;2.817;113.293;317.9;37
40;2.817;113.299;318.4;45
41;4.019;117.308;325.6;79
42;-8.106;112.927;312.1;78
43;0.107;117.473;313;81
44;-2.566;101.254;323.5;77
45;-8.348;147.822;311.6;50
46;-8.346;147.832;334.4;86
47;0.107;117.471;311.3;74
48;-2.584;121.378;310.5;71
49;-8.109;112.917;311;73
